"","curve1","curve2","curve3","curve4"
"540",0,1,0,0
"541",0,0,0,1
"542",1,0.862192720580518,0,0
"543",1,1,1,1
"544",0.92263651600652,1,0,0
"545",1,0.446067920750062,0,0
"546",0,0,1,0
"547",0.834313620350554,1,0,0.954147943390025
"548",0.989380727861141,1,0,0
"549",1,1,0.607265794661628,1
"550",1,0.968770756294749,0,0
"551",0,1,0,0
"552",1,1,1,1
"553",0,0,1,0
"554",0.938687114044282,1,0,0
"555",1,0,0,0
"556",1,1,0,0.79185124442739
"557",0,1,0,0
"558",0,1,0,0
"559",1,0,0,0
"560",0,0,1,0
"561",1,0,0,0
"562",1,1,0,1
"563",1,0,0,0
"564",0,0,1,0
"565",1,1,1,1
"566",0,0,1,0
"567",0.875694698855995,1,0,0
"568",0,1,0,0
"569",0,1,0,0
"570",1,1,0,1
"571",0,0,0,1
"572",0,0,1,0
"573",1,1,0,1
"574",0.783298980982708,1,0,0
"575",1,0.903562443107715,0,0
"576",0,0,1,0
"577",0.917284608935132,0.916868397828163,0,1
"578",1,0,0,0
"579",0,0,1,0
"580",1,0,0,0
"581",1,1,0,1
"582",0,0,1,0
"583",1,1,1,1
"584",1,1,0,1
"585",1,0,0,0
"586",1,1,1,1
"587",1,0.989712550900511,0,0.922360870301301
"588",1,0,0,0
"589",0,0,1,0
"590",0,0,1,0
"591",0,0,1,0
"592",1,1,1,1
"593",1,1,1,1
"594",0.856521688034629,0.869880516702188,0,1
"595",0,0,1,0
"596",0.893049152429247,1,0,0
"597",1,0.982139066657928,0,0
"598",1,0,0,0
"599",0,0,0,1
"600",0,0,1,0
"601",0.868376207826035,1,0,0.438637738184596
"602",0,0,1,0
"603",0,0,1,0
"604",1,0.593133775724024,0,0
"605",0.338081896164163,1,0,0
"606",0,0,1,0
"607",0,0,1,0
"608",0.944999179985899,0.95892768746688,0,1
"609",0.82328493148159,0.81930934588761,1,0.83661509529655
"610",1,0.765139268273008,0,0
"611",0,0,1,0
"612",0,0,1,0
"613",1,1,1,1
"614",0,0,1,0
"615",0,1,0,0
"616",1,1,0,1
"617",1,1,1,1
"618",1,0,0,0
"619",1,1,0,1
"620",0,1,0,0
"621",1,1,0,1
"622",1,1,0,1
"623",0.720637133764943,1,0,0
"624",1,1,1,1
"625",1,1,1,1
"626",1,0,0,0
"627",1,0.968411119877997,0,0.708794000075083
"628",0.949506996576651,1,0,0
"629",1,1,1,1
"630",1,0,0,0
"631",1,0.28726625238848,0,0
"632",1,0,0,0
"633",1,0,0,0
"634",1,1,1,1
"635",0.875859702547578,1,0,0
"636",0,0,1,0
"637",1,0.155118433639355,0,0
"638",0,0,1,0
"639",1,0,0,0
"640",0.938261509362896,1,0,0
"641",0,1,0,0
"642",0.403841045272394,1,0,0
"643",0,0,1,0
"644",1,1,0,0.655909905212843
"645",0,0,0,1
"646",0,0,1,0
"647",0.913699239787959,1,0,0
"648",1,0,0,0
"649",0,0,1,0
"650",1,0,0,0
"651",0,0,1,0
"652",1,1,1,1
"653",1,0,0,0
"654",1,1,0,1
"655",1,0.621579475174863,0,0
"656",1,0,0,0
"657",1,1,1,1
"658",1,1,0,1
"659",0,0,1,0
"660",0,0,0,1
"661",0,0,0,1
"662",0,0,1,0
"663",1,0,0,0
"664",0.995109859668831,1,0,0
"665",1,1,0,1
"666",0.557081181117864,1,0,0
"667",1,0,0,0
"668",1,1,0,0.796771285440661
"669",1,1,0.525771996339843,1
"670",0,0,1,0
"671",0,0,0,1
"672",1,1,0,1
"673",0.838284919205335,0.871239663372495,0,1
"674",1,1,1,1
"675",0,0,1,0
"676",0,0,1,0
"677",1,0,0,0
"678",1,0,0,0
"679",1,1,0,1
"680",1,1,0.73712429152766,1
"681",1,0,0,0
"682",1,1,0.747945306316772,1
"683",0.926859827877397,0.901757485098821,0,1
