"","t6"
"474","Run5_191774126422819"
"475","Run5_122514704911077"
"476","Run5_200348208680219"
"477","Run4_133829949343589"
"478","Run4_200994226067310"
"479","Run5_133895282084595"
"480","Run5_121826140122412"
"481","Run4_235198559512286"
"482","Run4_235007401651619"
"483","Run4_130126432922459"
"484","Run4_130144732600101"
"485","Run4_126835173775662"
"486","Run5_169174263032542"
"487","Run5_226901456538459"
"488","Run5_205922688722795"
"489","Run5_121319737121636"
"490","Run5_125042426828509"
"491","Run5_170199685647772"
"492","Run5_197264019712876"
"493","Run5_134936708471027"
"494","Run5_126776239353140"
"495","Run5_240617715776757"
"496","Run4_227363599341278"
"497","Run4_170199713011614"
"498","Run4_126834252633822"
"499","Run4_131089728129452"
"500","Run4_239468515612445"
"501","Run5_166416921352542"
"502","Run4_126706324233525"
"503","Run4_227930535028581"
"504","Run4_160990114761444"
"505","Run4_205510805973939"
"506","Run4_165738975021787"
"507","Run5_235007401381229"
"508","Run5_200983488678189"
"509","Run4_192325896325541"
"510","Run5_236082095680803"
"511","Run4_165946238581555"
"512","Run5_166416907979118"
"513","Run4_192101737524468"
"514","Run5_164753399540572"
"515","Run5_239946733382372"
"516","Run4_134376317638444"
"517","Run5_135064465107747"
"518","Run5_240161240500598"
"519","Run4_226265801547045"
"520","Run5_204351816746854"
"521","Run4_131293456284381"
"522","Run5_204763047544750"
"523","Run5_231340605393758"
"524","Run4_134539692369758"
"525","Run5_170268002532645"
"526","Run4_191026802350828"
"527","Run4_240634599982955"
"528","Run5_227510433466796"
"529","Run5_230592294807990"
"530","Run4_236167189903659"
"531","Run4_157486610049956"
"532","Run5_133895312784222"
"533","Run5_126886685367220"
"534","Run4_200983507843804"
"535","Run4_204359601113885"
"536","Run5_134938032257907"
"537","Run4_235697683942125"
"538","Run4_122514723751852"
"539","Run4_231907643738867"
"540","Run5_235548465313708"
"541","Run5_130624830225651"
"542","Run4_226901488220461"
"543","Run4_232321018873757"
"544","Run5_226822387616118"
"545","Run5_235533413824244"
"546","Run4_231900158770036"
"547","Run4_197135485552878"
"548","Run5_235070783670620"
"549","Run4_160996525754270"
"550","Run5_120864497616693"
"551","Run5_191774139767604"
"552","Run4_231891388262707"
"553","Run5_169174277242220"
"554","Run4_227990530086701"
"555","Run5_165858459958694"
"556","Run5_226970322757427"
"557","Run4_126885745777500"
"558","Run4_240617734485933"
"559","Run5_201523553528230"
"560","Run5_226283235010932"
"561","Run5_240136785910500"
"562","Run4_191096730372014"
"563","Run4_227305214622131"
"564","Run5_192859711592365"
"565","Run4_157477604838812"
"566","Run4_201474322651499"
"567","Run5_170343448131827"
"568","Run4_235189030275444"
"569","Run5_239477285838190"
"570","Run4_135014255324531"
"571","Run4_169572532448107"
"572","Run5_235533401184476"
"573","Run5_169794765772526"
"574","Run5_131310501879069"
"575","Run5_133829930432821"
"576","Run5_197256772536675"
"577","Run5_157536914893020"
"578","Run4_192745848031667"
"579","Run5_130754484594925"
"580","Run5_134377525663523"
"581","Run4_227425442720990"
"582","Run5_166469265377654"
"583","Run4_161340135000806"
"584","Run4_161451925784942"
"585","Run5_130134888630581"
"586","Run4_130531382486963"
"587","Run4_122428778498790"
"588","Run4_169794797517683"
"589","Run4_157562550479158"
"590","Run5_122308431338283"
"591","Run4_227990484470620"
"592","Run4_126886713125724"
"593","Run4_134376331074867"
"594","Run4_231270792981427"
"595","Run5_240161241361188"
"596","Run4_227903376845597"
"597","Run4_165741402700662"
"598","Run4_227510414362973"
"599","Run5_161890983664038"
"600","Run4_204911370458923"
"601","Run4_134936677205734"
"602","Run4_227493101094635"
"603","Run4_240634614668702"
"604","Run4_120797898099934"
"605","Run5_192101783590773"
"606","Run5_204816868621549"
"607","Run4_161889610222835"
"608","Run5_232328281349483"
"609","Run5_169794765510446"
"610","Run4_129582985828700"
"611","Run4_227284928613723"
"612","Run5_241057653738918"
"613","Run4_240136832019750"
"614","Run5_131309609053542"
"615","Run4_231917051075443"
"616","Run4_164698906385694"
"617","Run4_170265230300910"
"618","Run5_169572513533275"
"619","Run5_169158842632947"
"620","Run5_170268003359517"
"621","Run5_129663530653924"
"622","Run5_195426069924254"
"623","Run4_231760553728363"
"624","Run5_126218845928365"
"625","Run5_133829929876395"
"626","Run5_166400431418667"
"627","Run4_156463321958820"
"628","Run4_231754935519068"
"629","Run5_195546194556660"
"630","Run5_227930488559390"
"631","Run5_201595521984220"
"632","Run4_195623342168820"
"633","Run5_130531414400420"
"634","Run5_191645397183350"
"635","Run4_165164925737884"
"636","Run4_236639655151397"
"637","Run4_236846752652084"
"638","Run5_170180386090227"
"639","Run5_226343096108899"
"640","Run4_192306956167478"
"641","Run4_240498415159580"
"642","Run4_192745875859363"
"643","Run4_227363553163565"
"644","Run4_231907655829301"
"645","Run5_240617688319835"
"646","Run5_129583031437660"
"647","Run4_161478667320563"
"648","Run5_201670683121501"
"649","Run5_157477605424477"
"650","Run5_161893233838836"
"651","Run5_200348223302372"
"652","Run4_170343448131827"
"653","Run4_169027845438758"
"654","Run4_134447990232886"
"655","Run5_200994245499300"
"656","Run5_157072030652724"
"657","Run5_134540466244828"
"658","Run4_239408816184030"
"659","Run5_170343479037292"
"660","Run5_121742684769518"
"661","Run4_231280309393203"
"662","Run5_120864485521653"
"663","Run4_231366194027869"
"664","Run5_240634614729955"
"665","Run5_121965742090611"
"666","Run4_204765476374940"
"667","Run4_235189029713782"
"668","Run5_226265832544669"
"669","Run4_130134915861341"
"670","Run5_226953411545835"
"671","Run5_192180148194524"
"672","Run4_239477239736227"
"673","Run4_235559304718572"
"674","Run4_200562837739235"
"675","Run4_231754889018291"
"676","Run4_166400431085917"
"677","Run5_230816721856747"
"678","Run5_122293398691236"
"679","Run5_192745875393902"
"680","Run4_126227557243316"
"681","Run5_232302631143733"
"682","Run5_157562550315756"
"683","Run4_135081931692774"
"684","Run4_227493072985381"
"685","Run5_227982982695333"
"686","Run4_192678083344310"
"687","Run5_170198371096867"
"688","Run5_226949806544613"
"689","Run5_199865979587316"
"690","Run4_230741411216675"
"691","Run5_161451926215899"
"692","Run5_164698921842923"
"693","Run5_205449181392284"
"694","Run4_192653655132078"
"695","Run4_133829918121182"
"696","Run5_235198540568422"
"697","Run5_134938018867934"
"698","Run5_226283234748131"
"699","Run5_192180167268715"
"700","Run5_126835146021107"
"701","Run5_226265832549659"
"702","Run5_236846753200878"
"703","Run5_235199333284779"
"704","Run4_169174262569195"
"705","Run5_201111685519603"
"706","Run5_130134934968181"
"707","Run5_192718871062811"
"708","Run5_204224175925091"
"709","Run5_230592322623340"
"710","Run5_226806147271030"
"711","Run4_135014240151787"
"712","Run4_155972607096620"
"713","Run4_227354856769963"
"714","Run5_122308411669932"
"715","Run5_126765636115750"
"716","Run4_122436474493213"
"717","Run5_166416939642275"
"718","Run5_204959708236726"
"719","Run4_200994226592046"
"720","Run5_201585877204187"
"721","Run5_192101764487020"
"722","Run5_131217400978164"
"723","Run4_192325908359596"
"724","Run5_195625804217245"
"725","Run5_227357138016998"
"726","Run4_236768082685221"
"727","Run5_239477239736038"
"728","Run5_125239715023597"
"729","Run5_164631959751453"
"730","Run4_201595521481076"
"731","Run5_200994213517100"
"732","Run5_235000958971244"
"733","Run5_121337990199718"
"734","Run5_160996557175086"
"735","Run4_160928776964910"
"736","Run5_239475388464054"
"737","Run4_230654465165556"
"738","Run5_235533432999333"
"739","Run5_230749746710387"
"740","Run5_133829917526772"
"741","Run4_125042445641635"
"742","Run5_134936708630883"
"743","Run4_235559317617958"
"744","Run5_134472852268781"
"745","Run5_129978437684134"
"746","Run5_200974066629923"
"747","Run5_165385744796020"
"748","Run5_192317721528620"
"749","Run4_231366222040350"
"750","Run5_166400384976820"
"751","Run4_197135454132643"
"752","Run4_240498368268597"
"753","Run5_162078842088860"
"754","Run5_129978405927645"
"755","Run4_240498396326708"
"756","Run4_231291328261363"
"757","Run5_235214351318235"
"758","Run4_130529113782572"
"759","Run4_197188214241589"
"760","Run5_170181057432365"
"761","Run4_129978390767926"
"762","Run5_232450585713948"
"763","Run4_134539646032693"
"764","Run4_227354875714979"
"765","Run5_121826186283356"
"766","Run5_161340154039083"
"767","Run4_192255444339116"
"768","Run4_204359620544757"
"769","Run5_192729635318685"
"770","Run5_201523599367030"
"771","Run4_228042023590124"
