"","t3"
"397","Run5_161890984217308"
"398","Run5_169156976200939"
"399","Run5_135699958974299"
"400","Run4_197206064937763"
"401","Run4_197135485585203"
"402","Run5_230652451408286"
"403","Run5_205449200266037"
"404","Run4_230749778368373"
"405","Run5_227991423670171"
"406","Run5_131309562973021"
"407","Run5_226874778118379"
"408","Run5_205449168344814"
"409","Run5_169151760358684"
"410","Run5_130203876805035"
"411","Run5_134472852258164"
"412","Run4_204765494892893"
"413","Run5_121812464553396"
"414","Run5_231770070104350"
"415","Run5_227284916755749"
"416","Run5_226205940443443"
"417","Run5_226283234905454"
"418","Run4_126293980141348"
"419","Run5_226265814165358"
"420","Run4_235069798804187"
"421","Run4_133895312850291"
"422","Run4_232449733749620"
"423","Run4_227284916057972"
"424","Run4_126707788531571"
"425","Run4_161411780786013"
"426","Run5_197058290993971"
"427","Run4_135014267930867"
"428","Run5_240161241021229"
"429","Run5_235550849023395"
"430","Run5_166264154286323"
"431","Run5_235000971811180"
"432","Run4_191096730273651"
"433","Run5_129565671775652"
"434","Run5_169014021736350"
"435","Run4_130529132926812"
"436","Run4_230799407470894"
"437","Run4_169014052641571"
"438","Run4_161889623161755"
"439","Run5_227284928576238"
"440","Run5_231291315468142"
"441","Run5_129583000436124"
"442","Run5_201111639375261"
"443","Run5_134377526181219"
"444","Run5_121826140077470"
"445","Run4_204911370787556"
"446","Run4_200967489808675"
"447","Run4_169793543387868"
"448","Run4_165860292316397"
"449","Run4_240001540545315"
"450","Run5_122514677385454"
"451","Run4_126776270318502"
"452","Run5_170798592445222"
"453","Run5_239458092738459"
"454","Run5_126885746040093"
"455","Run5_122310425794860"
"456","Run5_226953429968741"
"457","Run4_232449734044523"
"458","Run5_197185785415531"
"459","Run4_129457506867427"
"460","Run5_134522347051444"
"461","Run4_170198358190515"
"462","Run4_126218864650676"
"463","Run5_121202342811869"
"464","Run4_161883167800692"
"465","Run4_205381669706468"
"466","Run5_160903122083174"
"467","Run5_134936662752094"
"468","Run5_121742657501043"
"469","Run5_231897742924084"
"470","Run5_236288376228644"
"471","Run4_155911430487349"
"472","Run5_125042426764206"
"473","Run4_226829547484915"
"474","Run5_135149175552428"
"475","Run5_165325615621981"
"476","Run4_157072030325022"
"477","Run5_239407462005085"
"478","Run5_235559290026733"
"479","Run5_169723777211702"
"480","Run5_239448248993573"
"481","Run5_130142316907428"
"482","Run5_200416659688862"
"483","Run5_204816881503654"
"484","Run4_205449199807838"
"485","Run4_195625758670110"
"486","Run5_126835146481059"
"487","Run5_231897742862627"
"488","Run5_231770055162284"
"489","Run4_131097928816924"
"490","Run4_227844232956836"
"491","Run4_240154786032948"
"492","Run4_197264047302493"
"493","Run4_161890964487083"
"494","Run5_227975363488990"
"495","Run5_196174320646891"
"496","Run5_235601972095707"
"497","Run4_239391521295708"
"498","Run5_169174277414182"
"499","Run4_235548419156188"
"500","Run5_192729622703333"
"501","Run4_205381657315230"
"502","Run4_226394650664348"
"503","Run5_161864274004405"
"504","Run5_164761076713820"
"505","Run5_197264034426085"
"506","Run4_191226637564331"
"507","Run5_121319737145700"
"508","Run5_165858414029731"
"509","Run5_236170008254814"
"510","Run5_157536929307877"
"511","Run5_126149024704286"
"512","Run4_230799407958430"
"513","Run5_227982967761244"
"514","Run5_131097916201251"
"515","Run4_197188213688678"
"516","Run5_170276754742558"
"517","Run5_126834206226155"
"518","Run4_164631932197605"
"519","Run5_227364252016037"
"520","Run5_125745344494964"
"521","Run5_130185488984430"
"522","Run5_195547402227061"
"523","Run5_239587882027358"
"524","Run5_235763060631262"
"525","Run5_122428804945757"
"526","Run4_170268030590196"
"527","Run4_191760449517475"
"528","Run4_199944394140389"
"529","Run5_239382644279134"
"530","Run4_196019686955356"
"531","Run5_235533432667500"
"532","Run4_240161240857894"
"533","Run5_196174352432556"
