,cell_names,Size_Factor,Pseudotime,State
Run5_196527701059949,Run5_196527701059949,1.34261326043946,14.7705531102017,1
Run5_196527701244341,Run5_196527701244341,0.747703120310341,2.41959121556247,7
Run5_196527701281691,Run5_196527701281691,1.72171602057868,17.4272843976578,2
Run5_196527716186342,Run5_196527716186342,1.75322322048302,15.3474804164926,1
Run5_196527716231580,Run5_196527716231580,1.38157377645019,17.5350989837974,1
Run5_196527728769773,Run5_196527728769773,0.698240204331497,17.9547054593631,1
Run5_196527728802213,Run5_196527728802213,1.89517501360038,17.984557916991,2
Run5_196527747656606,Run5_196527747656606,1.08174719671541,17.5201625071336,1
Run5_196527747709853,Run5_196527747709853,0.532234527416197,0.5493860903445,7
Run5_196638176884524,Run5_196638176884524,0.616253727161083,4.28767463243278,6
Run5_196638177193270,Run5_196638177193270,0.764642475097617,4.10844963437313,5
Run5_196638189509542,Run5_196638189509542,0.325913186107181,0.477078288668389,7
Run5_196638189702558,Run5_196638189702558,0.820881132991371,17.9656292443693,1
Run5_196638189971363,Run5_196638189971363,0.679945701161239,0.645273279038389,7
Run5_196638190030044,Run5_196638190030044,0.558659920884346,1.07027176627312,7
Run5_196638190225763,Run5_196638190225763,0.546124798341763,0.94144390744419,7
Run5_196638208314781,Run5_196638208314781,0.28220965075601,0.100511958902592,7
Run5_196715471816621,Run5_196715471816621,0.918113029470333,17.910633660568,1
Run5_196715471924581,Run5_196715471924581,0.955379610002339,12.9268853278039,2
Run5_196715472075180,Run5_196715472075180,0.521054553256595,0.910412868638452,7
Run5_196715486563555,Run5_196715486563555,1.33482115723731,8.92901226435347,5
Run5_196715499117877,Run5_196715499117877,0.432292334171271,0.653614984474633,7
Run5_196715517794734,Run5_196715517794734,0.640985185150505,17.6010083121718,1
Run5_196715517990773,Run5_196715517990773,0.591522269171661,1.16453630182439,7
Run5_196715518278579,Run5_196715518278579,1.38936587965234,9.18137089109733,5
Run5_196715518478686,Run5_196715518478686,0.47159163727775,2.55796075175399,7
Run5_197058264231267,Run5_197058264231267,0.245620644415495,0.099612018042293,7
Run5_197058278647539,Run5_197058278647539,0.493951585596954,0.785484517262092,7
Run5_197058290993971,Run5_197058290993971,1.12172407401338,16.8532371832704,2
Run5_197058291154269,Run5_197058291154269,0.482094037245861,0.646910978449975,7
Run5_197058291779427,Run5_197058291779427,1.09597625473673,17.9141441754875,1
Run5_197058309802347,Run5_197058309802347,0.588473185309951,0.878658850610792,7
Run5_197058310388462,Run5_197058310388462,1.188803918971,15.0372566191826,1
Run5_197060143044843,Run5_197060143044843,0.278482992702809,0.279071204908588,7
Run5_197060143499614,Run5_197060143499614,0.520715766160849,0.774654141894338,7
Run5_197060157401828,Run5_197060157401828,0.763964900906126,17.9388610901832,1
Run5_197060157627230,Run5_197060157627230,1.15323127391772,15.5129425438373,1
Run5_197060157730102,Run5_197060157730102,1.49167958256748,16.7690883786749,1
Run5_197060157950692,Run5_197060157950692,1.04177031941744,14.4094783800323,1
Run5_197060169973099,Run5_197060169973099,1.14984340296026,16.807800909404,1
Run5_197060170008990,Run5_197060170008990,3.16427147426307,17.8623243881905,2
Run5_197060170561438,Run5_197060170561438,1.01026311951311,7.36765020912745,5
Run5_197068867155814,Run5_197068867155814,0.90625548111924,5.88774003386688,5
Run5_197068867451253,Run5_197068867451253,1.63363137568485,15.0347181065728,1
Run5_197068867464412,Run5_197068867464412,0.702644436576188,3.1925771909758,7
Run5_197068882045795,Run5_197068882045795,0.705354733342152,3.22978859690898,7
Run5_197068882337116,Run5_197068882337116,0.960122629342776,6.49411805247918,5
Run5_197068913068788,Run5_197068913068788,1.14781068038579,12.1341018927513,2
Run5_197068913818867,Run5_197068913818867,0.360130682777477,0.653719341810399,7
Run5_197135439182046,Run5_197135439182046,2.68082228863422,17.9985273582316,2
Run5_197135453805292,Run5_197135453805292,3.17070842908223,17.1101489931607,2
Run5_197135453842852,Run5_197135453842852,0.860519223193596,6.99162213828896,5
Run5_197135453862187,Run5_197135453862187,0.948265080991683,17.5290771090457,1
Run5_197135466191731,Run5_197135466191731,0.767691558959326,18.0190862486005,1
Run5_197135484963764,Run5_197135484963764,0.479383740479897,0.672575705988144,7
Run5_197145236728115,Run5_197145236728115,1.0749714548005,11.132639467356,4
Run5_197145237052709,Run5_197145237052709,0.957751119672557,8.7467219209728,5
Run5_197145251960540,Run5_197145251960540,1.48558141484406,17.9327385718226,1
Run5_197145251997598,Run5_197145251997598,0.90625548111924,9.45538291557728,5
Run5_197145251998108,Run5_197145251998108,0.437374140607454,0.483386310121864,7
Run5_197145252284837,Run5_197145252284837,1.0786981128537,12.591312960878,1
Run5_197145264315628,Run5_197145264315628,0.234440670255893,0.152533607893318,7
Run5_197145264340214,Run5_197145264340214,0.800553907246641,6.7050744633319,5
Run5_197185770772779,Run5_197185770772779,0.400107560075448,0.615508769307315,7
Run5_197185785415531,Run5_197185785415531,1.09665382892822,17.0401991600196,2
Run5_197185785785588,Run5_197185785785588,1.06311390644941,17.5587307406228,1
Run5_197185797798310,Run5_197185797798310,1.19795117055612,17.8003461539886,1
Run5_197185798069533,Run5_197185798069533,0.915741519800114,14.7113305316766,1
Run5_197185798301603,Run5_197185798301603,0.829350810385009,11.6404817718256,4
Run5_197185817466588,Run5_197185817466588,2.03035106480284,17.3762189514193,1
Run5_197188186398123,Run5_197188186398123,1.71561785285526,17.4522392796519,2
Run5_197188187182902,Run5_197188187182902,0.833416255533955,7.54390565725615,5
Run5_197188201691508,Run5_197188201691508,0.644034269012215,3.44804604258312,7
Run5_197188213984157,Run5_197188213984157,0.615914940065338,0.958430631419952,7
Run5_197188214515957,Run5_197188214515957,1.29179519607763,17.5519714696984,1
Run5_197188232887158,Run5_197188232887158,0.423145082586142,0.611323693297739,7
Run5_197188233320284,Run5_197188233320284,0.682994785022949,18.077347920534,1
Run5_197206037616539,Run5_197206037616539,1.08649021605585,7.51336976378496,5
Run5_197206037674717,Run5_197206037674717,0.565435662799257,8.03096221056296,5
Run5_197206052039454,Run5_197206052039454,0.910998500459677,6.87554107791171,5
Run5_197206052386549,Run5_197206052386549,0.635903378714323,2.24555068474658,7
Run5_197206052617462,Run5_197206052617462,0.714163197831536,1.24815985453343,7
Run5_197206052882163,Run5_197206052882163,0.383845779479663,0.301127830433485,7
Run5_197206052923763,Run5_197206052923763,0.321508953862489,0.555219992922805,7
Run5_197206064883572,Run5_197206064883572,0.719583791363464,3.32008151347759,7
Run5_197206065400555,Run5_197206065400555,0.543414501575798,3.96868954090966,6
Run5_197206083758939,Run5_197206083758939,0.549173882203472,0.95695874646208,7
Run5_197213553880292,Run5_197213553880292,0.663006346373963,1.69083738528329,7
Run5_197213568489189,Run5_197213568489189,0.987564384098162,17.8799058171022,1
Run5_197213581625717,Run5_197213581625717,0.506147921043792,0.779762365701187,7
Run5_197213599684979,Run5_197213599684979,1.00789160984289,5.23678691634616,5
Run5_197213599750044,Run5_197213599750044,0.595926501416353,6.26745542106319,5
Run5_197213599947573,Run5_197213599947573,2.22989666419695,17.4825555135099,2
Run5_197213600202163,Run5_197213600202163,0.667749365714401,2.14063739871439,7
Run5_197256771755294,Run5_197256771755294,3.12564974534808,18.2325186420556,2
Run5_197256772536675,Run5_197256772536675,0.571533830522676,17.9439760522749,1
Run5_197256786328491,Run5_197256786328491,0.853743481278686,14.0782601666427,1
Run5_197256787216805,Run5_197256787216805,2.39691870239948,17.8484389837468,2
Run5_197256799775579,Run5_197256799775579,0.635903378714323,1.10282199774026,7
Run5_197256818055603,Run5_197256818055603,0.343530115085947,0.584034756379719,7
Run5_197256818407206,Run5_197256818407206,0.404511792320139,0.227118781760666,7
Run5_197264019504029,Run5_197264019504029,0.921839687523533,11.1509970283476,4
Run5_197264019712876,Run5_197264019712876,0.889316126331964,17.9502743284582,1
Run5_197264019737437,Run5_197264019737437,2.24480329640975,17.8782450230398,2
Run5_197264020258084,Run5_197264020258084,1.61059385317416,17.1445508010774,2
Run5_197264034426085,Run5_197264034426085,1.16034580292837,16.8210217487333,2
Run5_197264047237411,Run5_197264047237411,2.51786569558063,17.8159627566501,2
Run5_199865964586907,Run5_199865964586907,0.588811972405697,0.896901812110497,7
Run5_199865979066163,Run5_199865979066163,0.868650113491488,5.09537903193874,5
Run5_199865979587316,Run5_199865979587316,1.07734296447072,17.8459297240828,1
Run5_199865991814365,Run5_199865991814365,1.07192237093879,8.75135930913913,5
Run5_199865992432366,Run5_199865992432366,0.613543430395119,5.07317834251222,5
Run5_199934549609195,Run5_199934549609195,1.37886347968423,12.4238413755783,1
Run5_199934550064051,Run5_199934550064051,1.46559297619508,17.3322687635177,2
Run5_199934550362525,Run5_199934550362525,0.323202889341217,0.343557690317772,7
Run5_199934564219819,Run5_199934564219819,1.33278843466284,17.2397458019066,2
Run5_199934564223404,Run5_199934564223404,0.619641598118538,0.866459817801655,7
Run5_199934564264886,Run5_199934564264886,1.16983184160925,17.5619929271475,1
Run5_199934564747571,Run5_199934564747571,0.731102552618811,2.94657916425385,7
Run5_199934564783836,Run5_199934564783836,0.654536668980326,2.03797125147194,7
Run5_199934577600227,Run5_199934577600227,0.509874579096993,0.884585204745605,7
Run5_199934595685094,Run5_199934595685094,1.64955436918489,17.3151539746367,2
Run5_199934595713387,Run5_199934595713387,0.663006346373963,1.98782561790396,7
Run5_199944347504030,Run5_199944347504030,0.877458577980871,6.21583571229828,5
Run5_199944374998774,Run5_199944374998774,1.77084014946178,17.3243647250124,2
Run5_199944394402717,Run5_199944394402717,1.28061522191803,17.9103262876581,1
Run5_199962332882806,Run5_199962332882806,1.02991277106635,14.567847365601,1
Run5_199962333199093,Run5_199962333199093,1.16068459002412,12.1709752725771,2
Run5_199962347355555,Run5_199962347355555,1.1359531320347,11.3479583551675,4
Run5_199962347396523,Run5_199962347396523,0.665039068948437,6.50872186644673,5
Run5_199962347879670,Run5_199962347879670,0.599314372373808,1.10710035549446,7
Run5_199962360658678,Run5_199962360658678,0.619641598118538,0.934642450847777,7
Run5_199962379274099,Run5_199962379274099,0.380119121426462,0.651537614745795,7
